brand.name,area.name,section.name,product.name,product.descriptor,placement.sizes
New Amsterdam,Register,Nips,Gin,,50 ml
New Amsterdam,Spirits,Gin,Gin,,"750 ml, 1.75 L"
New Amsterdam,Spirits,Gin,London Dry Gin,,"750 ml, 1.75 L"
Fireball,Register,Nips,Fireball,,50 ml
Fireball,Spirits,Whiskey,Fireball,,"750 ml, 1.75 L"
Dr. McGillicuddy's,Register,Nips,Mentholmint,,50 ml
Dr. McGillicuddy's,Spirits,Liqueur,Mentholmint,,"750 ml, 1.75 L"
Dr. McGillicuddy's,Register,Nips,Grape,,50 ml
Dr. McGillicuddy's,Register,Nips,Butterscotch,,50 ml
Dr. McGillicuddy's,Register,Nips,Root Beer,,50 ml
1800,Register,Flasks,Silver,,375 ml
Bacardi,Register,Flasks,Gold,,"200 ml, 375 ml"
Bacardi,Register,Flasks,Superior,,"200 ml, 375 ml"
Bailey's,Register,Flasks,Irish Cream,,375 ml
Bombay Sapphire,Register,Flasks,Dry Gin,,375 ml
Bulleit,Register,Flasks,Bourbon,,"200 ml, 375 ml"
Bulleit,Register,Flasks,Rye,,375 ml
Captain Morgan,Register,Flasks,Spiced Rum,,"200 ml, 375 ml"
Chambord,Register,Flasks,Chambord,,375 ml
Cointreau,Register,Flasks,Triple Sec,,375 ml
Don Julio,Register,Flasks,Blanco Tequila,,375 ml
Dr. McGillicuddy's,Register,Flasks,Mentholmint,,"200 ml, 375 ml"
Evan Williams,Register,Flasks,Bourbon,,"200 ml, 375 ml"
Fireball,Register,Flasks,Fireball,,"200 ml, 375 ml"
Grand Marnier,Register,Flasks,Grand Marnier,,375 ml
Grey Goose,Register,Flasks,Vodka,,375 ml
Hendricks,Register,Flasks,Gin,,375 ml
Jack Daniel's,Register,Flasks,Tennessee Fire,,375 ml
Jack Daniel's,Register,Flasks,Tennessee Honey,,375 ml
Jack Daniel's,Register,Flasks,Tennessee Whiskey,,"200 ml, 375 ml"
Jagermeister,Register,Flasks,Jagermeister,,375 ml
Jim Beam,Register,Flasks,Bourbon,,"200 ml, 375 ml"
Jose Cuervo,Register,Flasks,Gold Tequila,,"200 ml, 375 ml"
Jose Cuervo,Register,Flasks,Silver Tequila,,"200 ml, 375 ml"
Kalhua,Register,Flasks,Kalhua,,375 ml
Ketel One,Register,Flasks,Vodka,,375 ml
Knob Creek,Register,Flasks,Bourbon,,375 ml
Knob Creek,Register,Flasks,Rye,,375 ml
Kraken,Register,Flasks,Dark Rum,,375 ml
Maker's Mark,Register,Flasks,Kentucky Bourbon,,"200 ml, 375 ml"
Malibu,Register,Flasks,Coconut Rum,,375 ml
New Amsterdam,Register,Flasks,Gin,,"200 ml, 375 ml"
New Amsterdam,Register,Flasks,Vodka,,"200 ml, 375 ml"
Patron,Register,Flasks,Anejo,,375 ml
Patron,Register,Flasks,Reposado,,375 ml
Patron,Register,Flasks,Silver,,375 ml
Rubel,Register,Flasks,Vodka,,"200 ml, 375 ml"
Rumchata,Register,Flasks,Rumchata,,375 ml
Sea Ice,Spirits,Vodka,Vodka,,1.75 L
Sea Ice,Register,Flasks,Vodka,,"200 ml, 375 ml"
Smirnoff,Register,Flasks,Vodka,100 proof,"200 ml, 375 ml"
Smirnoff,Register,Flasks,Vodka,,"200 ml, 375 ml"
Southern Comfort,Register,Flasks,Southern Comfort,,375 ml
St. Germain,Register,Flasks,St. Germain,,375 ml
Tanqueray,Register,Flasks,Gin,,375 ml
Coke,Coolers,Soda,Coke,,"20 oz, 2 L"
Diet Coke,Coolers,Soda,Diet Coke,,"20 oz, 2 L"
Pepsi,Coolers,Soda,Pepsi,,"20 oz, 2 L"
Diet Pepsi,Coolers,Soda,Diet Pepsi,,"20 oz, 2 L"
Sprite,Coolers,Soda,Sprite,,"20 oz, 2 L"
Mountain Dew,Coolers,Soda,Mountain Dew,,"20 oz, 2 L"
Diet Mountain Dew,Coolers,Soda,Diet Mountain Dew,,"20 oz, 2 L"
Canada Dry,Coolers,Soda,Ginger Ale,,"12 oz, 2 L"
Goslings,Coolers,Soda,Ginger Beer,,"12 oz, 2 L"
Goslings,Spirits,Rum,Black Seal Rum,,750 ml
Canada Dry,Coolers,Soda,Tonic Water,,"12 oz, 1 L"
Fever Tree,Coolers,Soda,Aromatic Tonic Water,,"12 oz, 1 L"
Fever Tree,Coolers,Soda,Indian Tonic Water,,"12 oz, 1 L"
Fever Tree,Coolers,Soda,Diet Tonic Water,,"12 oz, 1 L"
Fever Tree,Coolers,Soda,Club Soda,,"12 oz, 1 L"
